,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2
0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,4,7,2,0,3,9,9,1,9,3,10,3,8,1,0.0,0.0,0.0,1273391.5325165705,42818415.6714978,0.0004454013190858588,0.0,40609051.370577164,0.0,0.0,18144080.211109996,0.0,11583486.90021231,30351526.042379983,0.003708718076802032,256100000.00000003,376.68210231004014,0.0,47847947.961454235,0.0,1651583.0538233977,0.0,0.0004454013190858588,0.0,54948203.0,0.0,0.0,11438325.89941525,0.0,0.0,53603539.380975224,0.0,595100000.0,32.10384339926637,0.0,77940816.8099851,0.0,0.0,51168214.926178016,0.0,0.0,37165681.42669013,0.0,0.0,30507326.949839942,0.0,0.0,36232745.49008768,0.0,369700000.0,0.0
1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,2,8,0,4,10,1,9,7,5,4,10,0,7,1,9,5,0.0,76299088.11882158,0.0,0.0,99525397.17141615,0.0,0.0,34221561.73832255,0.0,0.0,20384338.443195168,0.0,34903516.36023696,25037214.086173728,0.0045870154801293216,408000000.0,1748.5209891462837,0.0,0.0,0.0,0.0,53517891.0,0.0,0.0,36434631.0,0.0,0.0,0.0,0.0,0.0,54928953.636244826,0.0,236500000.0,0.0,0.0,62603941.04790902,0.0,0.0,130232439.02539761,0.0,0.0,39515461.0743207,0.0,0.0,19956885.896116227,0.0,0.0,51323103.803664304,0.0,504600000.0,0.0
2,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,4,7,0,9,0,9,5,2,0,9,10,10,8,5,6,2,0.0,68139002.95605196,0.0,8136270.865130249,0.0,0.0009114911177450882,0.0,22167818.198803753,0.0,0.0,20384338.443195168,0.0,0.0,36676675.840294495,0.0,115300000.0,499.88109736508494,0.0,0.0,0.0,0.0,89992006.0,0.0,0.0,0.0,0.0,0.0,28524600.27851669,0.0,0.0,47641201.507942826,0.0,589200000.0,0.0,0.0,107873210.10869545,0.0,0.0,80387950.44893824,0.0,0.0,43431760.487038314,0.0,0.0,31543670.588420797,0.0,0.0,39909990.9457166,0.0,423600000.0,0.0
3,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,9,4,7,0,7,2,5,0,6,10,0,8,0,8,2,0.0,85264360.79025151,0.0,5691775.49427266,0.0,0.005335061923884626,0.0,28798397.130608946,0.0,0.0,20384338.443195168,0.0,51341721.57791132,0.0,0.044226351515346166,286800000.0,0.0,0.0,64743171.28002486,0.0,0.0,73315450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48463701.69719181,0.0,377300000.0,0.0,0.0,105461903.12067333,0.0,0.0,54172222.80731667,0.0,0.0,37142787.35178893,0.0,0.0,22541835.844735894,0.0,0.0,36083175.07140786,0.0,236500000.0,0.0
4,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,2,1,6,8,8,1,10,0,6,4,9,6,4,9,8,0,0.0,32694901.094161935,0.0,0.0,81277411.11097889,0.0,15544464.402196297,0.0,0.0040984010447354165,0.0,18144080.211109996,0.0,0.0,53114002.716882035,0.0,473900000.0,536.7626849303838,0.0,62792075.375175446,0.0,0.0,50039666.0,0.0,0.0,31398797.0,0.0,0.0,17030766.014881007,0.0,0.0,65576349.11267272,0.0,371400000.0,0.0,0.0,96530689.81529896,0.0,0.0,134668049.73480532,0.0,0.0,32300800.555629045,0.0,0.0,16048741.564535907,0.0,0.0,0.0,0.0,339000000.0,0.0
5,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,2,5,7,0,4,2,2,1,6,9,3,0,1,1,3,0.0,37255203.23710208,0.0,5691775.49427266,0.0,0.005335061923884626,0.0,22167818.198803753,0.0,0.0,18144080.211109996,0.0,32450048.526540868,25037214.086173728,0.028232095870575465,408000000.0,0.0,0.0,57724100.47715476,0.0,0.0,53358573.6002109,0.0,0.0,21710278.091501303,0.0,0.0,11438325.89941525,0.0,31344250.619690504,25892757.114369202,0.021315112879344306,115300000.0,0.0,0.0,86206861.98020029,0.0,0.0,48977856.25214514,0.0,0.0,34728810.03903501,0.0,0.0,0.0,0.0,3286074.7840677616,32461241.151864365,0.0029763724762807632,595100000.0,0.0
6,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,8,4,7,3,1,5,5,1,7,10,6,8,8,1,1,0.0,76299088.11882158,0.0,0.0,47842699.56310011,0.0,0.0,28798397.130608946,0.0,0.0,20384338.443195168,0.0,0.0,48463701.69719181,0.0,286800000.0,0.0,0.0,62603941.04790902,0.0,0.0,42301223.98575209,0.0,0.0,24012770.504427776,0.0,0.0,17612721.86183389,0.0,0.0,32758526.57082388,0.0,377300000.0,0.0,0.0,101977253.12544174,0.0,0.0,67956262.1744503,0.0,0.0,41865240.72195127,0.0,0.0,27576747.99212237,0.0,0.0,33877913.45329264,0.0,205800000.0,0.0
7,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,4,2,1,1,6,6,3,8,2,5,10,7,4,5,10,1,0.0,37255203.23710208,0.0,0.0,66045103.44010488,0.0,0.0,37285037.900559425,0.0,0.0,20384338.443195168,0.0,3286074.7840677616,36676675.840294495,0.0003571646971536916,151900000.0,231.61651847434345,0.0,34967502.70058983,0.0,0.0,80796843.08883607,0.0,0.0,29004227.825959537,0.0,0.0,19956885.896116227,0.0,0.0,68819262.88016625,0.0,371400000.0,0.0,0.0,36162372.18750358,0.0,0.0,71601679.97611405,0.0,0.0,40298720.95686422,0.0,0.0,17164279.29794789,0.0,0.0,41444835.6484928,0.0,679700000.0,0.0
8,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,4,1,6,5,1,1,2,5,8,1,9,6,3,6,6,5,0.0,32694901.094161935,0.0,3353824.3160429387,38245121.951764055,0.00038066318576967227,0.0,28798397.130608946,0.0,0.0,18144080.211109996,0.0,0.0,40273672.383724004,0.0,589200000.0,205.21644041753973,0.0,62792075.375175446,0.0,1631212.439194794,39551990.49295637,0.0001450485710537877,0.0,44105836.36196294,0.0,0.0,17030766.014881007,0.0,0.0,49269142.127242185,0.0,369700000.0,76.56625955781675,0.0,68283951.77113914,0.0,0.0,45794696.28355687,0.0,0.0,31418151.3127209,0.0,0.0,13993173.978933144,0.0,0.0,54890539.83337292,0.0,679700000.0,0.0
9,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,4,0,0,8,1,8,5,2,1,5,10,5,3,7,6,8,0.0,0.0,0.0,3353824.3160429387,38245121.951764055,0.00038066318576967227,0.0,22167818.198803753,0.0,0.0,20384338.443195168,0.0,0.0,44193513.54513965,0.0,115300000.0,205.21644041753973,0.0,0.0,0.0,0.0,84054729.79293942,0.0,0.0,21710278.091501303,0.0,0.0,15488964.177298155,0.0,0.0,50952710.870436,0.0,625800000.0,0.0,0.0,76299088.11882158,0.0,0.0,80387950.44893824,0.0,0.0,31852622.904143713,0.0,0.0,13993173.978933144,0.0,0.0,75009524.52378818,0.0,205800000.0,0.0
10,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,3,7,8,4,9,5,6,0,7,5,9,4,7,9,9,0,0.0,68139002.95605196,0.0,0.0,89992006.20155807,0.0,39038288.598171726,0.0,0.008216555317444077,0.0,18144080.211109996,0.0,0.0,53114002.716882035,0.0,256100000.00000003,1678.4746899996721,0.0,96530689.81529896,0.0,0.0,80387950.44893824,0.0,0.0,34221561.73832255,0.0,0.0,13118591.719578456,0.0,0.0,71868682.39442644,0.0,423600000.0,0.0,0.0,79204113.22740594,0.0,0.0,105714059.16227537,0.0,0.0,36434631.25356607,0.0,0.0,22073421.583396744,0.0,0.0,0.0,0.0,423600000.0,0.0
11,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,5,8,9,1,5,7,6,7,9,9,4,0,1,10,6,0.0,53972506.18695759,0.0,1251403.128501259,38245121.951764055,0.0011973429744210138,0.0,31398797.71871161,0.0,0.0,18144080.211109996,0.0,16404315.233063208,25037214.086173728,0.014238092281533126,461900000.0,0.0,0.0,90256984.69479744,0.0,0.0,61440196.98161208,0.0,0.0,41865240.721951276,0.0,0.0,13118591.719578456,0.0,0.0,60164572.92534063,0.0,236500000.0,0.0,0.0,131967615.7150019,0.0,0.0,89691084.1679771,0.0,0.0,62852516.99718149,0.0,0.0,0.0,0.0,0.0,58282271.99752515,0.0,151900000.0,0.0
12,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,3,0,4,6,0,7,6,2,5,6,10,6,2,9,10,9,0.0,0.0,0.0,5647940.1358096115,0.0,0.0006306663196164834,0.0,22167818.198803753,0.0,0.0,20384338.443195168,0.0,0.0,53114002.716882035,0.0,589200000.0,297.72958505940176,0.0,47847947.961454235,0.0,0.0,73315450.27094865,0.0,0.0,30800155.24552359,0.0,0.0,17612721.86183389,0.0,0.0,78718932.30666713,0.0,504600000.0,0.0,0.0,69451514.58336529,0.0,0.0,83557740.35028619,0.0,0.0,39724558.6793663,0.0,0.0,12551739.617759947,0.0,0.0,100568651.93626317,0.0,408000000.0,0.0
13,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,2,0,8,9,5,5,7,4,1,9,9,4,8,4,4,0,0.0,0.0,0.0,0.0,59410102.93073928,0.0,0.0,26403379.0,0.0,0.0,18144080.211109996,0.0,2824598.373761085,33377116.55719709,0.00038020984331370934,408000000.0,138.45013362896927,0.0,76299088.11882158,0.0,0.0,70278385.7991263,0.0,0.0,23219345.59791906,0.0,0.0,13118591.719578456,0.0,0.0,38178423.72756594,0.0,595100000.0,0.0,0.0,111559329.99886827,0.0,0.0,102593170.68572354,0.0,0.0,48037933.58993338,0.0,0.0,24932519.454922173,0.0,0.0,0.0,0.0,679700000.0,0.0
14,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,8,7,4,10,1,9,4,5,4,10,1,6,6,10,2,0.0,76299088.11882158,0.0,0.0,99525397.17141615,0.0,0.0,26403379.0,0.0,0.0,20384338.443195168,0.0,0.0,40273672.383724004,0.0,408000000.0,0.0,0.0,89152624.21620318,0.0,0.0,53517891.65575663,0.0,0.0,32941054.283193544,0.0,0.0,8844942.541352985,0.0,0.0,71170875.97737549,0.0,408000000.0,0.0,0.0,79204113.22740594,0.0,0.0,130232439.02539761,0.0,0.0,35726475.15534322,0.0,0.0,18214563.638022535,0.0,0.0,47210989.42031081,0.0,339000000.0,0.0
15,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,5,10,1,0,9,5,2,7,1,7,0.0,32694901.094161935,0.0,3379402.9400105136,38245121.951764055,0.003218588123911347,0.0,44215020.0,0.0,0.0,18144080.211109996,0.0,0.0,44193513.54513965,0.0,679700000.0,0.0,0.0,33812113.83965257,0.0,1643434.8079719564,39551990.49295637,0.001225830768655724,0.0,28405585.352771513,0.0,0.0,14977181.08454659,0.0,0.0,31676126.234010328,0.0,369700000.0,0.0,0.0,34967502.70058983,0.0,0.0,63539661.08323522,0.0,0.0,0.0,0.0,0.0,11735979.228376899,0.0,0.0,57822503.04461756,0.0,423600000.0,0.0
16,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,5,6,9,3,6,4,6,2,10,6,7,5,5,7,0.0,32694901.094161935,0.0,0.0,89992006.20155807,0.0,0.0,26403379.0,0.0,0.0,20384338.443195168,0.0,8958904.064072846,36676675.840294495,0.002921968149078564,371400000.0,262.36941171827004,0.0,55816792.90446377,0.0,0.0,64736069.6598287,0.0,0.0,35915523.19346817,0.0,0.0,17612721.86183389,0.0,0.0,43386182.60834641,0.0,504600000.0,0.0,0.0,74279044.81985192,0.0,0.0,98843510.16335739,0.0,0.0,31020293.100500043,0.0,0.0,24414427.32772178,0.0,0.0,61841708.14722436,0.0,377300000.0,0.0
17,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,2,0,7,7,7,9,1,0,1,5,9,1,2,2,5,5,0.0,0.0,0.0,0.0,73315450.27094865,0.0,10817078.682229886,0.0,0.0028497489856858377,0.0,18144080.211109996,0.0,22282216.22125895,27578229.96765524,0.002926728222694964,504600000.0,1488.9348906063076,0.0,68139002.95605196,0.0,0.0,113854446.37255296,0.0,3069883.276698202,20299287.62732069,0.0006322913853771627,0.0,8552689.812428854,0.0,0.0,39226048.05564497,0.0,377300000.0,80.60057624304427,0.0,86206861.98020029,0.0,0.0,65471571.23429938,0.0,0.0,29782463.001655802,0.0,0.0,10260065.98422112,0.0,0.0,46401928.33605281,0.0,205800000.0,0.0
18,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,3,1,1,10,1,10,6,3,1,9,9,4,8,9,3,1,0.0,32694901.094161935,0.0,1251403.128501259,38245121.951764055,0.00014368115693052166,0.0,24198032.0,0.0,0.0,18144080.211109996,0.0,0.0,53114002.716882035,0.0,492600000.0,65.39384066498535,0.0,33812113.83965257,0.0,0.0,102926265.1507898,0.0,0.0,22452136.870095443,0.0,0.0,13118591.719578456,0.0,0.0,41068721.49992654,0.0,339000000.0,0.0,0.0,101718180.83582307,0.0,0.0,95577543.71455075,0.0,0.0,46450674.30386155,0.0,0.0,24932519.454922173,0.0,0.0,37470849.40571239,0.0,492600000.0,0.0
